mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
90,9.5,80,52,92,94,100,13,86,819,98,546,90,96,780,337,812,167,No Tab,21,67,172,25.75009082,Male
62,5.8,63,12,61,114,86,12,84,888,91,447,60,94,786,350,946,196,Tabbed,21,70,154,21.56776113,Female
50,4.4,55,3,25,154,65,0,0,1235,61,256,48,81,1099,266,718,307,No Tab,23,62,144,25.65987537,Female
90,11.1,91,33,73,99,98,7,74,779,100,526,738,85,715,319,926,152,Tabbed,26,74,188,22.92125796,Male
90,9.2,78,44,84,106,94,13,86,792,100,532,83,94,700,342,860,161,No Tab,22,68,163,24.37878421,Male
70,9,77,32,72,106,94,10,80,974,81,474,69,80,769,271,758,178,No Tab,23,72,178,23.40116248,Male
86,11.5,93,32,72,100,98,12,84,910,88,521,89,84,773,289,718,188,No Tab,21,75,184,22.92125796,Male
100,11.1,91,43,83,86,100,13,86,969,82,542,72,79,762,308,830,164,No Tab,21,74,195,24.83154578,Male
70,8.7,75,34,74,104,96,10,80,997,79,474,68,74,885,260,830,164,No Tab,23,71,153,21.38378697,Male
78,9.1,77,35,75,119,81,7,74,913,88,473,75,78,773,289,776,173,No Tab,22,70,164,23.52929034,Male
100,14.1,100,41,81,81,100,14,88,820,98,567,75,95,780,297,932,151,Tabbed,22,76,220,26.71325539,Male
74,8.1,71,28,69,91,100,6,72,899,90,476,76,80,780,284,762,177,No Tab,21,74,217,28.29293091,Male
78,9.9,82,31,71,104,96,8,76,950,84,487,72,81,847,277,690,200,No Tab,22,74,206,26.70641142,Male
78,11.5,93,24,67,88,100,8,76,963,82,496,65,71,814,265,718,187,No Tab,21,73,191,25.25210189,Male
100,11.5,93,41,81,92,100,17,94,900,89,557,84,93,734,331,902,156,Tabbed,22,71,242,32.88972627,Male
78,9.9,82,35,75,95,100,12,84,794,100,519,85,101,753,340,920,153,Tabbed,22,71,169,23.58075217,Male
78,9.3,79,31,71,98,99,10,80,856,94,501,83,95,689,349,848,162,No Tab,22,74,179,23.53337244,Male
82,10.6,87,34,74,90,100,10,80,963,82,505,75,80,736,311,908,155,Tabbed,22,73,198,26.50205216,Male
100,11,90,43,83,82,100,17,94,898,90,557,77,85,775,313,884,159,No Tab,24,72,217,28.55735082,Male
78,9.7,81,35,75,94,100,12,84,956,83,501,75,84,780,289,836,163,No Tab,22,68,180,26.66429523,Male
90,10.6,87,38,78,91,100,4,68,734,100,523,76,86,715,331,932,151,Tabbed,22,73,198,26.50205216,Male
82,13.7,100,25,67,85,100,18,96,897,90,535,72,83,819,285,890,158,Tabbed,21,81,225,24.65914023,Male
90,11.3,92,35,75,93,100,8,76,1015,77,510,71,73,849,264,758,178,No Tab,22,75,212,27.01878038,Male
78,7.6,69,41,81,100,98,11,82,842,96,504,86,99,738,349,944,148,Tabbed,22,69,157,22.57425665,Male
82,9.9,82,47,87,98,99,15,90,905,89,529,86,91,780,308,750,179,No Tab,22,68,184,27.42613224,Male
78,8.3,73,41,81,94,100,8,76,832,97,505,97,83,760,308,824,165,No Tab,24,74,219,28.82177074,Male
90,9.2,78,43,83,93,100,16,92,915,88,531,78,85,755,318,824,165,No Tab,22,67,186,28.18796924,Male
90,12.6,100,30,70,163,63,10,80,1026,75,478,81,78,694,293,718,189,No Tab,21,70,214,30.33865066,Male
90,11.9,96,36,76,88,100,12,84,978,81,527,78,101,781,299,770,174,No Tab,22,73,218,29.0843034,Male
